# time nusers response_time n_servers global_load_avg global_mem_util avg_num_apps_per_server
   3520.0 704    15.451 9    0.6160    0.5812 37
   3525.0 705    16.024 9    0.6155    0.5820 37
   3535.0 702    16.485 9    0.6209    0.5816 37
   3545.0 696    16.290 9    0.6035    0.5756 38
   3555.0 693    16.318 9    0.6134    0.5791 38
   3565.0 691    17.026 9    0.6239    0.5734 37
   3575.0 688    16.436 9    0.6201    0.5770 40
   3585.0 685    15.176 9    0.6078    0.5803 40
   3595.0 680    15.542 9    0.6042    0.5749 39
   3605.0 674    16.601 9    0.5890    0.5687 37
   3615.0 672    16.192 9    0.5933    0.5623 36
   3625.0 670    15.899 9    0.5893    0.5569 36
   3635.0 667    16.119 9    0.5967    0.5538 35
   3645.0 664    15.723 9    0.5874    0.5488 35
   3655.0 660    15.871 9    0.5857    0.5518 37
   3665.0 656    16.119 9    0.5845    0.5516 35
   3675.0 649    15.803 9    0.5712    0.5423 36
   3685.0 645    15.951 9    0.5607    0.5407 36
   3695.0 642    15.437 9    0.5555    0.5356 33
   3705.0 637    14.286 9    0.5426    0.5253 33
   3715.0 633    15.345 9    0.5429    0.5217 33
   3725.0 633    15.632 9    0.5283    0.5182 32
   3735.0 630    15.147 9    0.5216    0.5153 31
   3745.0 628    14.851 9    0.5209    0.5161 31
   3755.0 624    14.627 9    0.5116    0.5097 31
   3765.0 618    14.988 9    0.5139    0.5090 31
   3775.0 617    13.746 9    0.5010    0.5014 30
   3785.0 616    15.275 9    0.5480    0.5021 29
   3795.0 613    14.467 9    0.5007    0.4943 28
   3805.0 611    14.365 9    0.4940    0.4955 31
   3815.0 608    14.543 9    0.4907    0.5011 31
   3825.0 605    15.575 9    0.4980    0.4980 31
   3835.0 604    15.322 9    0.4997    0.4986 31
   3845.0 600    14.683 9    0.4752    0.4960 31
   3855.0 595    14.969 9    0.4929    0.4930 33
   3865.0 591    15.258 9    0.4936    0.4972 34
   3875.0 589    15.431 9    0.4947    0.4970 34
   3885.0 584    15.063 9    0.4904    0.4913 34
   3895.0 583    14.324 9    0.4820    0.4890 33
   3905.0 578    17.187 9    0.6252    0.4882 33
   3915.0 573    14.740 9    0.5202    0.4824 33
   3925.0 570    15.874 9    0.5079    0.4790 31
   3935.0 565    14.817 9    0.4960    0.4719 31
   3945.0 559    15.026 9    0.4892    0.4675 31
   3955.0 555    13.376 9    0.4761    0.4641 32
   3965.0 554    14.243 9    0.4483    0.4627 31
   3975.0 549    14.653 9    0.4457    0.4628 31
   3985.0 545    14.584 9    0.4426    0.4574 30
   3995.0 542    14.880 9    0.4410    0.4548 30
   4005.0 539    14.119 9    0.4355    0.4544 31
   4015.0 538    13.653 9    0.4295    0.4517 31
   4025.0 532    14.379 9    0.4483    0.4516 30
   4035.0 529    13.668 9    0.4127    0.4470 31
   4045.0 527    13.229 9    0.4014    0.4438 31
   4055.0 524    13.902 9    0.4010    0.4422 32
   4065.0 522    13.424 9    0.3963    0.4465 32
   4075.0 520    14.804 9    0.4014    0.4443 32
   4085.0 516    13.836 9    0.3899    0.4400 31
   4095.0 516    13.587 9    0.3844    0.4354 29
   4105.0 511    13.299 9    0.3807    0.4341 29
   4115.0 508    14.593 9    0.3865    0.4283 29
   4125.0 501    14.206 9    0.3905    0.4259 28
   4135.0 498    12.930 9    0.3816    0.4180 28
   4145.0 497    13.669 9    0.3570    0.4122 25
   4155.0 496    14.188 9    0.3814    0.4053 24
   4165.0 493    13.632 9    0.3791    0.4034 25
   4175.0 490    13.034 9    0.3732    0.4031 24
   4185.0 488    14.044 9    0.3732    0.4010 25
   4195.0 484    13.839 9    0.3728    0.4000 26
   4205.0 480    14.812 9    0.3689    0.3992 25
   4215.0 477    14.471 9    0.3725    0.3961 25
   4225.0 474    13.401 9    0.3593    0.3937 25
   4235.0 472    13.479 9    0.3573    0.3900 25
   4245.0 465    13.450 9    0.3566    0.3912 26
   4245.0 465    13.450 9    0.3566    0.3912 26
   4250.0 466    14.025 9    0.3577    0.3898 26
   4260.0 468    13.537 9    0.3577    0.3931 26
   4270.0 470    13.130 9    0.3426    0.3930 28
   4280.0 472    12.879 9    0.3385    0.4020 30
   4290.0 474    13.806 9    0.3467    0.4038 29
   4300.0 476    14.071 9    0.3544    0.4056 30
   4310.0 478    13.798 9    0.3541    0.4099 31
   4320.0 480    13.767 9    0.3541    0.4129 30
   4330.0 482    13.820 9    0.3614    0.4082 28
   4340.0 484    13.850 9    0.3615    0.4179 33
   4350.0 486    14.153 9    0.3641    0.4211 33
   4360.0 488    14.705 9    0.3686    0.4261 32
   4370.0 490    14.286 9    0.3697    0.4228 32
   4380.0 492    13.488 9    0.3697    0.4258 32
   4390.0 494    13.712 9    0.3679    0.4219 30
   4400.0 496    13.615 9    0.3694    0.4164 29
   4410.0 498    13.092 9    0.3649    0.4213 30
   4420.0 500    14.244 9    0.3699    0.4250 30
   4430.0 502    14.181 9    0.3738    0.4239 29
   4440.0 504    12.959 9    0.3738    0.4215 29
   4450.0 506    14.529 9    0.3996    0.4207 30
   4460.0 508    14.001 9    0.3959    0.4262 30
   4470.0 510    14.146 9    0.3961    0.4410 35
   4480.0 512    13.206 9    0.3892    0.4450 35
   4490.0 514    12.967 9    0.3809    0.4463 35
   4500.0 516    14.485 9    0.3809    0.4505 35
   4510.0 518    14.221 9    0.3937    0.4474 34
   4520.0 520    14.333 9    0.4024    0.4570 38
   4530.0 522    13.553 9    0.3962    0.4621 37
   4540.0 524    14.185 9    0.3984    0.4590 37
   4550.0 526    14.082 9    0.3983    0.4605 37
   4560.0 528    14.236 9    0.3983    0.4638 37
   4570.0 530    14.499 9    0.4235    0.4639 36
   4580.0 532    14.721 9    0.4270    0.4618 35
   4590.0 534    13.943 9    0.4245    0.4569 32
   4600.0 536    14.427 9    0.4256    0.4546 34
   4610.0 538    14.621 9    0.4257    0.4634 36
   4620.0 540    14.426 9    0.4257    0.4699 38
   4630.0 542    14.400 9    0.4321    0.4762 38
   4640.0 544    15.346 9    0.4502    0.4742 36
   4650.0 546    14.468 9    0.4424    0.4700 36
   4660.0 548    13.904 9    0.4355    0.4739 36
